,clean_text,FAC_GPE,long,lat,Lon2,Lat2
43,"Im at Sushirrito in San Jose, Calif","Sushirrito, San Jose, Calif",-121.944129,37.32623335,-121.9440076,37.326276
44," Im at Tacos El Grullense Eamp;E in Redwood City, CA w at heidihmontes","Tacos El Grullense Eamp;E, Redwood City, CA",-122.21564840000002,37.47973922,,
45,"kaiten time at  Tenroku in San Francisco, CA","Tenroku, San Francisco, CA",-122.4316206,37.78505423,,
46,"Im at The Avenue Downtown San Bruno in San Bruno, CA","The Avenue Downtown San Bruno, San Bruno, CA",-122.41074779999998,37.63086768,,
47, I left MY heart in San Francisco... at  The Golden Gate Bridge,"The Golden Gate Bridge, San Francisco",-122.47846,37.8183,-122.4798443,37.8302731
48,Just posted a photo at  Twin Peaks San Francisco,"Twin Peaks, San Francisco",-122.447722,37.751586,-122.44648,37.75464
49," Im at US-101 James Lick Freeway in San Francisco, CA","US-101 James Lick Freeway, San Francisco, CA",-122.4059965,37.74994143,,
50, Closed in SanFrancisco on US-101 SB between Market St and 9th St BayArea Traffic,"US-101 SB, Market St, SanFrancisco",-122.4193,37.77519,,
51," USGS M 1.5 - 21km SE of Livermore, California: Time2016-09-16 00:04:19 UTC2016-09-15 17:04:19 -07:00 at ... SM","USGS M, Livermore, California",-121.5878296,37.54700089999999,,
52," Im at The Westin St. Francis on Union Square - at westinstfr in San Francisco, CA","Union Square, westinstfr, San Francisco, CA",-122.4087989,37.78758113,,
53," Im at Urban Picnic in San Francisco, CA","Urban Picnic, San Francisco, CA",-122.403715,37.789259,-122.4039174,37.7892684
54,Vecinos del lago at  District Oakland,"Vecinos del lago, Oakland",-122.27498,37.80126,,
55,"Forgotten, on a side walk. Understood. at  Western Addition, San Francisco","Western Addition, San Francisco",-122.428,37.7825,-122.4298104,37.779559
56,"Im at Westlake 120122 Bus Stop in Daly City, CA","Westlake 120122 Bus Stop, Daly City, CA",-122.4842548,37.70040517,,
57,"Im at Campanile Sather Tower - at cal in Berkeley, CA","cal, Berkeley, CA",-122.2580969,37.87193215,-122.2664649,37.8703839
58,"Im at San Francisco Caltrain Station - at gocaltrain in San Francisco, CA","gocaltrain, San Francisco, CA",-122.39535929999998,37.77600363,,
59,"Breakfast.  Because Im feeling hungry.  And fat. at  Jack in the Box - at jackbox in San Jose, CA","jackbox, San Jose, CA",-121.9192176,37.32300867,,
60," at at AlcatrazIsland in San Francisco, CA w at sansrau","sansrau, San Francisco, CA",-122.4228215,37.82682787,,
61,"Im at Six Flags Discovery Kingdom - at sixflagsdk in Vallejo, CA","sixflagsdk, Vallejo, CA",-122.2329467,38.13860917,,
62,"Im at Mazarine Coffee - at wearemazarine in San Francisco, CA","wearemazarine, San Francisco, CA",-122.40384240000002,37.78745543,,
